language,test_code,test_name,panel,direction,tier,title,what_it_means,diet_do,diet_dont,lifestyle,follow_up_test_codes,follow_up_weeks,severity,status
en,HB,Haemoglobin,Complete Blood Picture,LOW,2,Haemoglobin is below the reference range,Haemoglobin is the protein in red blood cells that carries oxygen around your body.,"Include ragi, spinach, dates, jaggery and eggs or meat if you eat them; add lemon or amla to iron-rich meals",Avoid tea or coffee within an hour of meals,,"FERRITIN,IRON",0,STANDARD,DRAFT
en,HB,Haemoglobin,Complete Blood Picture,HIGH,2,Haemoglobin is above the reference range,Haemoglobin carries oxygen in your blood; a higher value can follow dehydration or smoking.,Drink water steadily through the day,Avoid smoking,,CBC,12,STANDARD,DRAFT
en,RBC,RBC Count,Complete Blood Picture,LOW,1,Red blood cell count is below the reference range,Red blood cells carry oxygen from your lungs to the rest of your body.,,,,,,STANDARD,DRAFT
en,RBC,RBC Count,Complete Blood Picture,HIGH,1,Red blood cell count is above the reference range,Red blood cells carry oxygen around your body; the count can rise with dehydration or smoking.,,,,,,STANDARD,DRAFT
en,WBC,WBC Count,Complete Blood Picture,LOW,1,White blood cell count is below the reference range,White blood cells are part of how your body fights infection.,,,,,,STANDARD,DRAFT
en,WBC,WBC Count,Complete Blood Picture,HIGH,1,White blood cell count is above the reference range,White blood cells rise while your body is dealing with an infection or inflammation.,,,,,,STANDARD,DRAFT
en,PLT,Platelet Count,Complete Blood Picture,LOW,1,Platelet count is below the reference range,Platelets are the cells that help your blood clot when you are injured.,,,,,,STANDARD,DRAFT
en,PLT,Platelet Count,Complete Blood Picture,HIGH,1,Platelet count is above the reference range,Platelets help your blood clot; the count can rise for a while after an infection.,,,,,,STANDARD,DRAFT
en,PCV,PCV / Haematocrit,Complete Blood Picture,LOW,1,PCV is below the reference range,"PCV is the share of your blood made up of red cells, so it usually moves together with haemoglobin.",,,,,,STANDARD,DRAFT
en,PCV,PCV / Haematocrit,Complete Blood Picture,HIGH,1,PCV is above the reference range,PCV is the share of your blood made up of red cells; it can rise when you are dehydrated.,,,,,,STANDARD,DRAFT
en,MCV,MCV,Complete Blood Picture,LOW,2,Red blood cells are smaller than usual,MCV is the average size of your red blood cells; a low value often travels with a low haemoglobin.,,,,"FERRITIN,IRON",0,STANDARD,DRAFT
en,MCV,MCV,Complete Blood Picture,HIGH,2,Red blood cells are larger than usual,MCV is the average size of your red blood cells; a high value is sometimes linked to vitamin B12 or folate levels.,,,,"VITB12,FOLATE",0,STANDARD,DRAFT
en,MCH,MCH,Complete Blood Picture,LOW,1,MCH is below the reference range,MCH is the average amount of haemoglobin carried inside each red blood cell.,,,,,,STANDARD,DRAFT
en,MCH,MCH,Complete Blood Picture,HIGH,1,MCH is above the reference range,MCH is the average amount of haemoglobin carried inside each red blood cell.,,,,,,STANDARD,DRAFT
en,MCHC,MCHC,Complete Blood Picture,LOW,1,MCHC is below the reference range,MCHC describes how concentrated the haemoglobin is inside your red blood cells.,,,,,,STANDARD,DRAFT
en,MCHC,MCHC,Complete Blood Picture,HIGH,1,MCHC is above the reference range,MCHC describes how concentrated the haemoglobin is inside your red blood cells.,,,,,,STANDARD,DRAFT
en,RDW,RDW,Complete Blood Picture,HIGH,1,Red cell size varies more than usual,RDW describes how much your red blood cells differ from one another in size.,,,,,,STANDARD,DRAFT
en,NEUT,Neutrophils,Complete Blood Picture,LOW,1,Neutrophils are below the reference range,Neutrophils are the white cells that respond first to bacterial infection.,,,,,,STANDARD,DRAFT
en,NEUT,Neutrophils,Complete Blood Picture,HIGH,1,Neutrophils are above the reference range,Neutrophils are the white cells that respond first to bacterial infection.,,,,,,STANDARD,DRAFT
en,LYMPH,Lymphocytes,Complete Blood Picture,LOW,1,Lymphocytes are below the reference range,Lymphocytes are the white cells involved in fighting viruses and building immunity.,,,,,,STANDARD,DRAFT
en,LYMPH,Lymphocytes,Complete Blood Picture,HIGH,1,Lymphocytes are above the reference range,Lymphocytes are the white cells involved in fighting viruses and building immunity.,,,,,,STANDARD,DRAFT
